timestamp,viewers,datetime
1757088000000,0.0,2025-09-05 16:00:00
1757089800000,348195.0,2025-09-05 16:30:00
1757091600000,386638.0,2025-09-05 17:00:00
1757093400000,414189.0,2025-09-05 17:30:00
1757095200000,417488.0,2025-09-05 18:00:00
1757097000000,415306.0,2025-09-05 18:30:00
1757098800000,453534.0,2025-09-05 19:00:00
1757100600000,464397.0,2025-09-05 19:30:00
1757102400000,462372.0,2025-09-05 20:00:00
1757104200000,458859.0,2025-09-05 20:30:00
