timestamp,donations,datetime
1757286000000,16172355.24,2025-09-07 23:00:00
1757284200000,15873545.5,2025-09-07 22:30:00
1757282400000,15512122.12,2025-09-07 22:00:00
1757280600000,13883837.38,2025-09-07 21:30:00
1757278800000,13234789.65,2025-09-07 21:00:00
1757277000000,12526539.09,2025-09-07 20:30:00
1757275200000,12069731.96,2025-09-07 20:00:00
1757273400000,11669309.92,2025-09-07 19:30:00
1757271600000,11352980.19,2025-09-07 19:00:00
1757269800000,10662590.08,2025-09-07 18:30:00
